Batch_Size,TE_Threads_Per_Block,TE_Blocks,TE_Total_Threads,Time_Cost,Mean_CT,Mean_Deviation_CT,Mean_HT,Mean_Deviation_HT,TE_Upper_Thread_Limit
1,256,1,256,,323.068000 ms,-1,323.068000 ms,-1,70656
11,256,1,256,,323.815800 ms,-1,29.437800 ms,-1,70656
21,256,1,256,,279.075000 ms,-1,13.289286 ms,-1,70656
31,256,1,256,,282.639200 ms,-1,9.117394 ms,-1,70656
41,256,1,256,,299.205900 ms,-1,7.297705 ms,-1,70656
51,256,1,256,,301.777900 ms,-1,5.917214 ms,-1,70656
61,256,1,256,,283.092200 ms,-1,4.640856 ms,-1,70656
71,256,1,256,,321.618300 ms,-1,4.529835 ms,-1,70656
81,256,1,256,,277.571300 ms,-1,3.426806 ms,-1,70656
91,256,1,256,,266.033100 ms,-1,2.923441 ms,-1,70656
101,256,1,256,,225.516800 ms,-1,2.232840 ms,-1,70656
111,256,1,256,,366.935300 ms,-1,3.305723 ms,-1,70656
121,256,1,256,,317.503000 ms,-1,2.623992 ms,-1,70656
131,256,1,256,,294.953300 ms,-1,2.251552 ms,-1,70656
141,256,1,256,,288.151900 ms,-1,2.043630 ms,-1,70656
151,256,1,256,,270.025100 ms,-1,1.788246 ms,-1,70656
161,256,1,256,,276.633200 ms,-1,1.718219 ms,-1,70656
171,256,1,256,,254.892400 ms,-1,1.490599 ms,-1,70656
181,256,1,256,,255.637600 ms,-1,1.412362 ms,-1,70656
191,256,1,256,,272.210000 ms,-1,1.425183 ms,-1,70656
201,256,1,256,,265.583300 ms,-1,1.321310 ms,-1,70656
211,256,1,256,,270.376700 ms,-1,1.281406 ms,-1,70656
221,256,1,256,,263.414200 ms,-1,1.191919 ms,-1,70656
231,256,1,256,,272.150800 ms,-1,1.178142 ms,-1,70656
241,256,1,256,,279.804900 ms,-1,1.161016 ms,-1,70656
251,256,1,256,,283.712400 ms,-1,1.130328 ms,-1,70656
261,512,2,512,,285.309000 ms,-1,1.093138 ms,-1,70656
271,512,2,512,,274.630100 ms,-1,1.013395 ms,-1,70656
281,512,2,512,,275.624900 ms,-1,980.871530 us,-1,70656
291,512,2,512,,280.126400 ms,-1,962.633677 us,-1,70656
301,512,2,512,,280.061900 ms,-1,930.438206 us,-1,70656
311,512,2,512,,272.319500 ms,-1,875.625402 us,-1,70656
321,512,2,512,,259.058600 ms,-1,807.036137 us,-1,70656
331,512,2,512,,266.864700 ms,-1,806.237764 us,-1,70656
341,512,2,512,,263.231000 ms,-1,771.938416 us,-1,70656
351,512,2,512,,269.986600 ms,-1,769.192593 us,-1,70656
361,512,2,512,,272.667100 ms,-1,755.310526 us,-1,70656
371,512,2,512,,279.075700 ms,-1,752.225606 us,-1,70656
381,512,2,512,,277.118200 ms,-1,727.344357 us,-1,70656
391,512,2,512,,261.624800 ms,-1,669.117136 us,-1,70656
401,512,2,512,,273.777300 ms,-1,682.736409 us,-1,70656
411,512,2,512,,266.452300 ms,-1,648.302433 us,-1,70656
421,512,2,512,,284.256500 ms,-1,675.193587 us,-1,70656
431,512,2,512,,282.192000 ms,-1,654.737819 us,-1,70656
441,512,2,512,,306.601200 ms,-1,695.240816 us,-1,70656
451,512,2,512,,270.098600 ms,-1,598.888248 us,-1,70656
461,512,2,512,,268.819600 ms,-1,583.122777 us,-1,70656
471,512,2,512,,263.234000 ms,-1,558.883227 us,-1,70656
481,512,2,512,,269.621900 ms,-1,560.544491 us,-1,70656
491,512,2,512,,281.684100 ms,-1,573.694705 us,-1,70656
501,512,2,512,,264.813200 ms,-1,528.569261 us,-1,70656
511,512,2,512,,273.719900 ms,-1,535.655382 us,-1,70656
521,768,3,768,,276.289700 ms,-1,530.306526 us,-1,70656
531,768,3,768,,288.413000 ms,-1,543.150659 us,-1,70656
541,768,3,768,,277.289300 ms,-1,512.549538 us,-1,70656
551,768,3,768,,265.812200 ms,-1,482.417786 us,-1,70656
561,768,3,768,,264.801300 ms,-1,472.016578 us,-1,70656
571,768,3,768,,246.171200 ms,-1,431.122942 us,-1,70656
581,768,3,768,,248.660800 ms,-1,427.987608 us,-1,70656
591,768,3,768,,281.654800 ms,-1,476.573266 us,-1,70656
601,768,3,768,,253.031500 ms,-1,421.017471 us,-1,70656
611,768,3,768,,276.016000 ms,-1,451.744681 us,-1,70656
621,768,3,768,,267.289100 ms,-1,430.417230 us,-1,70656
631,768,3,768,,285.210500 ms,-1,451.997623 us,-1,70656
641,768,3,768,,266.233100 ms,-1,415.340250 us,-1,70656
651,768,3,768,,281.375700 ms,-1,432.220737 us,-1,70656
661,768,3,768,,274.219600 ms,-1,414.855673 us,-1,70656
671,768,3,768,,268.226800 ms,-1,399.741878 us,-1,70656
681,768,3,768,,282.677700 ms,-1,415.092070 us,-1,70656
691,768,3,768,,268.099700 ms,-1,387.987988 us,-1,70656
701,768,3,768,,251.391600 ms,-1,358.618545 us,-1,70656
711,768,3,768,,278.953300 ms,-1,392.339381 us,-1,70656
721,768,3,768,,240.861900 ms,-1,334.066436 us,-1,70656
731,768,3,768,,227.639200 ms,-1,311.407934 us,-1,70656
741,768,3,768,,230.633200 ms,-1,311.245884 us,-1,70656
751,768,3,768,,267.818100 ms,-1,356.615313 us,-1,70656
761,768,3,768,,235.392500 ms,-1,309.319974 us,-1,70656
771,1024,4,1024,,240.007000 ms,-1,311.293126 us,-1,70656
781,1024,4,1024,,271.994900 ms,-1,348.264917 us,-1,70656
791,1024,4,1024,,261.640600 ms,-1,330.771934 us,-1,70656
801,1024,4,1024,,223.066800 ms,-1,278.485393 us,-1,70656
811,1024,4,1024,,252.621800 ms,-1,311.494205 us,-1,70656
821,1024,4,1024,,260.584200 ms,-1,317.398538 us,-1,70656
831,1024,4,1024,,267.099000 ms,-1,321.418773 us,-1,70656
841,1024,4,1024,,254.448600 ms,-1,302.554816 us,-1,70656
851,1024,4,1024,,277.167600 ms,-1,325.696357 us,-1,70656
861,1024,4,1024,,284.121200 ms,-1,329.989779 us,-1,70656
871,1024,4,1024,,271.805100 ms,-1,312.060964 us,-1,70656
881,1024,4,1024,,280.521600 ms,-1,318.412713 us,-1,70656
891,1024,4,1024,,287.341100 ms,-1,322.492817 us,-1,70656
901,1024,4,1024,,259.939400 ms,-1,288.500999 us,-1,70656
911,1024,4,1024,,265.100500 ms,-1,290.999451 us,-1,70656
921,1024,4,1024,,268.979700 ms,-1,292.051792 us,-1,70656
931,1024,4,1024,,269.690100 ms,-1,289.677873 us,-1,70656
941,1024,4,1024,,265.053900 ms,-1,281.672582 us,-1,70656
951,1024,4,1024,,265.765100 ms,-1,279.458570 us,-1,70656
961,1024,4,1024,,280.812000 ms,-1,292.208117 us,-1,70656
971,1024,4,1024,,273.422300 ms,-1,281.588363 us,-1,70656
981,1024,4,1024,,268.668700 ms,-1,273.872273 us,-1,70656
991,1024,4,1024,,292.218400 ms,-1,294.872250 us,-1,70656
1001,1024,4,1024,,266.801100 ms,-1,266.534565 us,-1,70656
1011,1024,4,1024,,266.560700 ms,-1,263.660435 us,-1,70656
1021,1024,4,1024,,279.332600 ms,-1,273.587267 us,-1,70656
1031,1280,5,1280,,266.671900 ms,-1,258.653637 us,-1,70656
1041,1280,5,1280,,264.722300 ms,-1,254.296158 us,-1,70656
1051,1280,5,1280,,264.898100 ms,-1,252.043863 us,-1,70656
1061,1280,5,1280,,306.509000 ms,-1,288.886899 us,-1,70656
1071,1280,5,1280,,237.789600 ms,-1,222.025770 us,-1,70656
1081,1280,5,1280,,244.300100 ms,-1,225.994542 us,-1,70656
1091,1280,5,1280,,243.819200 ms,-1,223.482310 us,-1,70656
