Batch_Size,TE_Threads_Per_Block,TE_Blocks,TE_Total_Threads,Time_Cost,Mean_CT,Mean_Deviation_CT,Mean_HT,Mean_Deviation_HT,TE_Upper_Thread_Limit
1,256,1,256,,314.546400 ms,-1,314.546400 ms,-1,70656
2,256,1,256,,350.948400 ms,-1,175.474200 ms,-1,70656
3,256,1,256,,235.965100 ms,-1,78.655033 ms,-1,70656
4,256,1,256,,230.923900 ms,-1,57.730975 ms,-1,70656
5,256,1,256,,267.934200 ms,-1,53.586840 ms,-1,70656
6,256,1,256,,254.039200 ms,-1,42.339867 ms,-1,70656
7,256,1,256,,298.110500 ms,-1,42.587214 ms,-1,70656
8,256,1,256,,339.399500 ms,-1,42.424938 ms,-1,70656
9,256,1,256,,328.149800 ms,-1,36.461089 ms,-1,70656
10,256,1,256,,304.760800 ms,-1,30.476080 ms,-1,70656
11,256,1,256,,271.594800 ms,-1,24.690436 ms,-1,70656
12,256,1,256,,261.685000 ms,-1,21.807083 ms,-1,70656
13,256,1,256,,278.398100 ms,-1,21.415238 ms,-1,70656
14,256,1,256,,383.340100 ms,-1,27.381436 ms,-1,70656
15,256,1,256,,397.437600 ms,-1,26.495840 ms,-1,70656
16,256,1,256,,331.542500 ms,-1,20.721406 ms,-1,70656
17,256,1,256,,304.825500 ms,-1,17.930912 ms,-1,70656
18,256,1,256,,295.648700 ms,-1,16.424928 ms,-1,70656
19,256,1,256,,283.975200 ms,-1,14.946063 ms,-1,70656
20,256,1,256,,289.322800 ms,-1,14.466140 ms,-1,70656
21,256,1,256,,279.314300 ms,-1,13.300681 ms,-1,70656
22,256,1,256,,262.266600 ms,-1,11.921209 ms,-1,70656
23,256,1,256,,283.860200 ms,-1,12.341748 ms,-1,70656
24,256,1,256,,443.044500 ms,-1,18.460187 ms,-1,70656
25,256,1,256,,278.619200 ms,-1,11.144768 ms,-1,70656
26,256,1,256,,283.539400 ms,-1,10.905362 ms,-1,70656
27,256,1,256,,253.563400 ms,-1,9.391237 ms,-1,70656
28,256,1,256,,285.393700 ms,-1,10.192632 ms,-1,70656
29,256,1,256,,278.143500 ms,-1,9.591155 ms,-1,70656
30,256,1,256,,280.409300 ms,-1,9.346977 ms,-1,70656
31,256,1,256,,284.472200 ms,-1,9.176523 ms,-1,70656
32,256,1,256,,281.275000 ms,-1,8.789844 ms,-1,70656
33,256,1,256,,302.253800 ms,-1,9.159206 ms,-1,70656
34,256,1,256,,288.637800 ms,-1,8.489347 ms,-1,70656
35,256,1,256,,276.150800 ms,-1,7.890023 ms,-1,70656
36,256,1,256,,268.499000 ms,-1,7.458306 ms,-1,70656
37,256,1,256,,290.080500 ms,-1,7.840014 ms,-1,70656
38,256,1,256,,274.750800 ms,-1,7.230284 ms,-1,70656
39,256,1,256,,266.009000 ms,-1,6.820744 ms,-1,70656
40,256,1,256,,224.885100 ms,-1,5.622127 ms,-1,70656
41,256,1,256,,271.120200 ms,-1,6.612688 ms,-1,70656
42,256,1,256,,240.153100 ms,-1,5.717931 ms,-1,70656
43,256,1,256,,230.408000 ms,-1,5.358326 ms,-1,70656
44,256,1,256,,299.029700 ms,-1,6.796130 ms,-1,70656
45,256,1,256,,305.047700 ms,-1,6.778838 ms,-1,70656
46,256,1,256,,260.492100 ms,-1,5.662872 ms,-1,70656
47,256,1,256,,284.478700 ms,-1,6.052738 ms,-1,70656
48,256,1,256,,288.496800 ms,-1,6.010350 ms,-1,70656
49,256,1,256,,279.924000 ms,-1,5.712735 ms,-1,70656
50,256,1,256,,264.819500 ms,-1,5.296390 ms,-1,70656
51,256,1,256,,259.928500 ms,-1,5.096637 ms,-1,70656
52,256,1,256,,266.852000 ms,-1,5.131769 ms,-1,70656
53,256,1,256,,266.876600 ms,-1,5.035408 ms,-1,70656
54,256,1,256,,279.590700 ms,-1,5.177606 ms,-1,70656
55,256,1,256,,266.029600 ms,-1,4.836902 ms,-1,70656
56,256,1,256,,260.953200 ms,-1,4.659879 ms,-1,70656
57,256,1,256,,266.475700 ms,-1,4.675012 ms,-1,70656
58,256,1,256,,233.499400 ms,-1,4.025852 ms,-1,70656
59,256,1,256,,271.747300 ms,-1,4.605886 ms,-1,70656
60,256,1,256,,267.885200 ms,-1,4.464753 ms,-1,70656
61,256,1,256,,359.953900 ms,-1,5.900884 ms,-1,70656
62,256,1,256,,276.018300 ms,-1,4.451908 ms,-1,70656
63,256,1,256,,275.040300 ms,-1,4.365719 ms,-1,70656
64,256,1,256,,270.816900 ms,-1,4.231514 ms,-1,70656
65,256,1,256,,292.337400 ms,-1,4.497498 ms,-1,70656
66,256,1,256,,276.882200 ms,-1,4.195185 ms,-1,70656
67,256,1,256,,282.205100 ms,-1,4.212016 ms,-1,70656
68,256,1,256,,263.883200 ms,-1,3.880635 ms,-1,70656
69,256,1,256,,265.042100 ms,-1,3.841190 ms,-1,70656
70,256,1,256,,249.488500 ms,-1,3.564121 ms,-1,70656
71,256,1,256,,260.655900 ms,-1,3.671210 ms,-1,70656
72,256,1,256,,254.416400 ms,-1,3.533561 ms,-1,70656
73,256,1,256,,273.014100 ms,-1,3.739919 ms,-1,70656
74,256,1,256,,269.559600 ms,-1,3.642697 ms,-1,70656
75,256,1,256,,267.382700 ms,-1,3.565103 ms,-1,70656
76,256,1,256,,266.420600 ms,-1,3.505534 ms,-1,70656
77,256,1,256,,263.274500 ms,-1,3.419149 ms,-1,70656
78,256,1,256,,277.338500 ms,-1,3.555622 ms,-1,70656
79,256,1,256,,270.038500 ms,-1,3.418209 ms,-1,70656
80,256,1,256,,309.274500 ms,-1,3.865931 ms,-1,70656
81,256,1,256,,258.766200 ms,-1,3.194644 ms,-1,70656
82,256,1,256,,267.045500 ms,-1,3.256652 ms,-1,70656
83,256,1,256,,244.711800 ms,-1,2.948335 ms,-1,70656
84,256,1,256,,245.272300 ms,-1,2.919908 ms,-1,70656
85,256,1,256,,300.834600 ms,-1,3.539231 ms,-1,70656
86,256,1,256,,286.110700 ms,-1,3.326869 ms,-1,70656
87,256,1,256,,283.238500 ms,-1,3.255615 ms,-1,70656
88,256,1,256,,245.680900 ms,-1,2.791828 ms,-1,70656
89,256,1,256,,236.380200 ms,-1,2.655957 ms,-1,70656
90,256,1,256,,257.286600 ms,-1,2.858740 ms,-1,70656
91,256,1,256,,234.576900 ms,-1,2.577768 ms,-1,70656
92,256,1,256,,273.291800 ms,-1,2.970563 ms,-1,70656
93,256,1,256,,245.817900 ms,-1,2.643203 ms,-1,70656
94,256,1,256,,271.343800 ms,-1,2.886636 ms,-1,70656
95,256,1,256,,270.729000 ms,-1,2.849779 ms,-1,70656
96,256,1,256,,276.591400 ms,-1,2.881160 ms,-1,70656
97,256,1,256,,268.410900 ms,-1,2.767123 ms,-1,70656
98,256,1,256,,299.533100 ms,-1,3.056460 ms,-1,70656
99,256,1,256,,280.816300 ms,-1,2.836528 ms,-1,70656
100,256,1,256,,352.906500 ms,-1,3.529065 ms,-1,70656
101,256,1,256,,282.809400 ms,-1,2.800093 ms,-1,70656
102,256,1,256,,376.677200 ms,-1,3.692914 ms,-1,70656
103,256,1,256,,293.221000 ms,-1,2.846806 ms,-1,70656
104,256,1,256,,304.937000 ms,-1,2.932087 ms,-1,70656
