Batch_Size,TE_Threads_Per_Block,TE_Blocks,TE_Total_Threads,Time_Cost,Mean_CT,Mean_Deviation_CT,Mean_HT,Mean_Deviation_HT,TE_Upper_Thread_Limit
1,256,1,256,,299.219400 ms,-1,299.219400 ms,-1,70656
2,256,1,256,,272.348200 ms,-1,136.174100 ms,-1,70656
4,256,1,256,,287.847900 ms,-1,71.961975 ms,-1,70656
8,256,1,256,,259.919800 ms,-1,32.489975 ms,-1,70656
16,256,1,256,,264.657300 ms,-1,16.541081 ms,-1,70656
32,256,1,256,,317.373400 ms,-1,9.917919 ms,-1,70656
64,256,1,256,,315.833000 ms,-1,4.934891 ms,-1,70656
128,256,1,256,,344.076500 ms,-1,2.688098 ms,-1,70656
256,256,1,256,,296.815500 ms,-1,1.159436 ms,-1,70656
512,512,2,512,,287.998900 ms,-1,562.497852 us,-1,70656
1024,1024,4,1024,,263.919700 ms,-1,257.734082 us,-1,70656
2048,2048,8,2048,,293.851100 ms,-1,143.481982 us,-1,70656
4096,4096,16,4096,,265.457100 ms,-1,64.808862 us,-1,70656
8192,8192,32,8192,,291.444300 ms,-1,35.576697 us,-1,70656
16384,16384,64,16384,,280.875000 ms,-1,17.143250 us,-1,70656
32768,32768,128,32768,,255.147800 ms,-1,7.786493 us,-1,70656
65536,65536,256,65536,,255.995000 ms,-1,3.906174 us,-1,70656
131072,131072,512,131072,,277.221500 ms,-1,2.115032 us,-1,70656
262144,262144,1024,262144,,296.052200 ms,-1,1.129350 us,-1,70656
524288,524288,2048,524288,,267.622400 ms,-1,510.449219 ns,-1,70656
1048576,1048576,4096,1048576,,281.713000 ms,-1,268.662453 ns,-1,70656
2097152,2097152,8192,2097152,,310.186400 ms,-1,147.908401 ns,-1,70656
4194304,4194304,16384,4194304,,327.262800 ms,-1,78.025532 ns,-1,70656
8388608,8388608,32768,8388608,,389.568800 ms,-1,46.440220 ns,-1,70656
16777216,16777216,65536,16777216,,513.002600 ms,-1,30.577338 ns,-1,70656
33554432,33554432,131072,33554432,,910.134400 ms,-1,27.124119 ns,-1,70656
67108864,67108864,262144,67108864,,1.648169 s,-1,24.559633 ns,-1,70656
134217728,134217728,524288,134217728,,844.597500 ms,-1,6.292742 ns,-1,70656
